Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
BOTTU, fabrication et commerce de specialites pharmaceutiques et parapharmaceutiques," Ndeg3, Voie Ndeg1, Quartier Industriel Ain Sebaa",Casablanca,33.58694440000001 : -7.6111111000000164,21357,Tribunal de Casablanca,1524098000052.0,,societe-bottu-64653, 200 000 000 
STE MAROCAINE DES PETROLES (SOMAP)," commerce de gros de gaz comprime, de carburants et lubrifiants", 382 Bd Emile Zola,Casablanca,33.59715 : -7.59182,38397,Tribunal de Casablanca,1569058000087.0,,societe-ste-marocaine-des-petroles-57390, 20 000 000 
LESAFFRE-MAROC," fabrication et fourniture de produits alimentaires pour boulangerie patisseries, hotels, restaurants et traiteurs (levures, ameliorants et ingredients, industrie alimentaire matieres premieres)", Rue Ibn Al Banaa Quartier Industriel Sidi Brahim,Fes,34.028958 : -4.979447,15141,Tribunal de Fes,1570317000044.0,,societe-lesaffre-maroc-26595, 30 989 300 
LES CONSERVES DE MEKNES, industrie des conserves alimentaires, Quartier Industriel Ain Slougui Bp 217,Meknes (M),33.894082 : -5.544582,13967,Tribunal de Meknes,1529756000061.0,,societe-les-conserves-de-meknes-33776, 200 000 000 
RESIDENCES DAR SAADA, promotion immobiliere., Quartier Marina Tour Crystal 3 Imm 05 6eme Et 7 Et 8 Etage,Casablanca,33.533333 : -7.583333,116417,Tribunal de Casablanca,1524472000042.0,,societe-residences-dar-saada-125699, 1 310 442 500 
SOMASTEEL, laminage de ronds a beton - production de rond a beton," Km 16, Rte El Jadida Ouled Azzouz",Casablanca,33.532301 : -7.6734,142055,Tribunal de Casablanca,1526210000064.0,,societe-somasteel-193964, 300 000 000 
STE NOUVELLE DES MOULINS DU MAGHREB (SNMM), minoterie industrielle - commerce de produits cereales," 58-60, Rue Ezaizafoune -ex Garonne",Casablanca,33.581675 : -7.594165,30689,Tribunal de Casablanca,83597000071.0,,societe-ste-nouvelle-des-moulins-du-maghreb-60914, 50 000 000 
MAROC BUREAU," conception, production, agencement et commercialisation de mobilier de bureau, medical, hotelier."," Km 9,200 Autoroute De Rabat Ain Sebaa",Ain-Sebaa (AR),33.609434 : -7.519515,32413,Tribunal de Casablanca,1529465000061.0,,societe-maroc-bureau-59481, 150 000 000 
EXTRA ELECTRO MENAGERS (EXTREM), fabrication et commercialisation d'appareils electromenagers, Bd Hassan Ii Bp 266,Mohammedia (M),33.706303 : -7.364797,1423,Tribunal de Mohammedia,1571781000092.0,,societe-extra-electro-menagers-43729, 15 190 000 
LES CABLERIES DU MAROC, fabrication de differents cables electriques, 48/50 Rue De Margaux,Casablanca,33.583451 : -7.596945,28583,Tribunal de Casablanca,1527613000013.0,,societe-les-cableries-du-maroc-67244, 157 500 000 
ATLAS SERVAIR, restauration aerienne, Zi De Royal Air Maroc Aeroport Mohammed V-nouasser,Nouaceur,33.371898 : -7.543865,136519,Tribunal de Casablanca,1537488000041.0,,societe-atlas-servair-189116, 200 000 000 
PNEURAMA (PNEURAMA), commerce d'equipements automobiles,,,33.573151 : -7.552959,71437,Tribunal de Casablanca,27219000056.0,,societe-pneurama-41065, 29 000 000 
STE MAROCAINE INDUSTRIELLE FINANCIERE ET AGRICOLE (MIFA)," vente de cyclomoteurs, materiel maritime et industriel", 379 Route De Camp Boulhaut Bd Ibn Tachafine,Casablanca,33.584563 : -7.573059,9845,Tribunal de Casablanca,1525139000075.0,,societe-ste-marocaine-industrielle-financiere-et-agricole-69722, 40 000 000 
NOUVELLE AVEIRO MAROC, conserves alimentaires - conditionnement et emballages - exploitation d'entrepots frigorifiques, Lot 633 635 Zone Industrielle,Ait Melloul (M),30.3658333 : -9.538055600000007,17063,Tribunal de Inzegane,1529538000030.0,,societe-nouvelle-aveiro-maroc-34601, 60 000 000 
NAJM IMMOBILIER, promotion et construction immobilieres," Rue Mohammed Belhassan Ouazzani Villa N 1, Agdal,",Agdal Riyad (AR),33.994769 : -6.856147,54735,Tribunal de Rabat,529816000043.0,,societe-najm-immobilier-122592, 16 000 000 
AZZURRO, importation des vetements," Imm Tafraouti, Km 7,5 Route De Rabat (ain Sebaa)",Ain-Sebaa (AR),33.609434 : -7.519515,112071,Tribunal de Casablanca,1530645000017.0,,societe-azzurro-119438, 59 554 000 
UNIMER (UNIMER), fabrication de produits alimentaires (fruits surgeles) - conserves et semi-conserves de poisson," 15-17, Rue Jbel Saghrou, Quartier Cil",Casablanca,33.58694440000001 : -7.6111111000000164,33373,Tribunal de Casablanca,1525913000032.0,,societe-unimer-82132, 114 138 800 
BEST MILK, production de produits laitiers - traitement et conditionnement du lait et derives - sechage du lait, Rue El Idrissi Quartier Industriel Hay Hassani,Marrakech-Medina (AR),31.641218 : -8.04624,22185,Tribunal de Marrakech,226940000013.0,,societe-best-milk-168118, 260 000 000 
CHAABI LIL ISKANE, travaux de construction - agence immobiliere - location de biens immobiliers - commerce de gros de materiaux de construction.," 239, Boulevard Mohammed V",Casablanca,33.593485 : -7.603666,6807,Tribunal de Casablanca,1527667000010.0,,societe-chaabi-lil-iskane-73007, 1 048 525 100 
MOHMANE, commerce de gros de cereales et aliments pour le betail, 228 Bd Yacoub El Mansour Beausejour,Casablanca,33.573699 : -7.6448,46579,Tribunal de Casablanca,1535208000006.0,,societe-mohmane-49446, 3 000 000 
SOCIETE INTERCONTINENTALE IMMOBILIERE ET INDUSTRIELLE (S.I.3), construction de batiments et travaux divers de construction - fabrication et commerce de tous materiaux de construction - exploitation de carriere, Lot 197 Sidi Ghanem Quartier Industriel,Sidi Ghanem,31.199238 : -8.7949,5903,Tribunal de Marrakech,226839000024.0,,societe-societe-intercontinentale-immobiliere-et-industrielle-6661, 220 000 000 
SOCIETE DE DISTRIBUTION DE MATERIEL INDUSTRIEL ET AUTOMOBILE CASTANO ET CIE (SODISMA), commerce de vehicules automobiles et pieces detachees," Avenue Cadi Ayad, Quartier Industriel Bp 333",Agadir (M),30.419914 : -9.579912,75,Tribunal de Agadir,103429000047.0,,societe-societe-de-distribution-de-materiel-industriel-et-automobile-castano-et-cie-31788, 25 000 000 
SANITUBE (SANITUBE), commerce de materiaux de construction - amenagement de cuisines et salles de bain," Lotissement Dhar, Hay Inara Ain Chock",Ain-Chock (AR),33.58694440000001 : -7.6111111000000164,38701,Tribunal de Casablanca,1556402000068.0,,societe-sanitube-62490, 70 000 000 
AKKA GOLD MINING (A.G.M), operateur minier," Twin Center, Tour A, 191 Bd Zerktouni Et Bd Al Massira Al Khadra, Bp.16016 Maarif",El Maarif (AR),33.586475 : -7.631245,69595,Tribunal de Casablanca,1538442000085.0,,societe-akka-gold-mining-551, 50 000 100 
VITOGAZ MAROC, distribution de gaz de petrole liquefies, Immeuble Ndeg7. 4eme Etage Ghandi Mall Boulevard Ghandi 20380,Casablanca,33.568852 : -7.643162,101421,Tribunal de Casablanca,1526833000024.0,,societe-vitogaz-maroc-104105, 40 000 000 
MED PAPER, sylviculture et papier - fabrication de papier d'emballages et d'edition et d'ecriture," Zone Industrielle Mghogha, Route De Tetouan Allee Ndeg1, Lot 19, Bp Ndeg400",Tanger-Medina (AR),35.735182 : -5.765796,42645,Tribunal de Tanger,1530664000086.0,,societe-med-paper-40698, 47 838 230 
ALF EL FELLOUS, aliments pour betail et volaille.," Espace Des Arts Atelier 14, Boulevard Yacoub El Mansour, Rue Erraihane, Immeuble D Quartier Beausejour, 20250",Casablanca,33.59422 : -7.6191,107783,Tribunal de Casablanca,1524321000045.0,,societe-alf-el-fellous-80491, 30 000 000 
SOCIETE MAROCAINE DE TRAVAUX ET D'ENTREPRISES GENERALES (SOTRAVO), construction de batiments et travaux publics," 52, Rue D'alger Anfa",Casablanca,33.59211 : -7.62461,28065,Tribunal de Casablanca,1530751000065.0,,societe-societe-marocaine-de-travaux-et-d-entreprises-generales-63726, 80 000 000 
MECOMAR (MECOMAR)," fabrication, reparation et commercialisation de materiel de collecte, de manutention et d'assainissement"," 7 Rue Abdelwahed El Marrakchi, Oukacha",Casablanca,33.57523 : -7.56508,78713,Tribunal de Casablanca,35461000040.0,,societe-mecomar-77865, 70 000 000 
MEDI CABLE, fabrication et commerce des cables d'energie - import et export., 10 Av Des Far,Casablanca,33.56631 : -7.56361,107829,Tribunal de Casablanca,168362000034.0,,societe-medi-cable-113133, 80 600 000 
IB MAROC COM," travaux informatiques, entrepreneur de travaux mecanographiques, travaux scientifiques."," Ndeg 42, Boulevard Abdelmoumen Immeuble Walili Street Plt 49 7eme Etage",Casablanca,33.58047 : -7.62478,75281,Tribunal de Casablanca,1525876000061.0,,societe-ib-maroc-com-74783, 41 748 600 
TENOR DISTRIB, service financieres," Lotissement N 5 Angle Boulevard Yaacoub El Mansour Et Rue Socrate, Les Residences Masurel, 2e Etage",Casablanca,33.577179 : -7.638923,149777,Tribunal de Casablanca,229520000096.0,,societe-tenor-distrib-173935, 15 000 000 
MOBILE COM, commerce et distribution de tous articles et produit de domaine de telecommunications, Local 324 Lot Lina Sidi Maarouf,Casablanca,33.52482 : -7.65048,100709,Tribunal de Casablanca,190689000060.0,,societe-mobile-com-103037, 10 000 000 
SOMAPORT, manutention portuaire., 7 Boulevard De La Resistance Sidi Belyout.,Sidi Belyout (AR),33.597895 : -7.614127,157801,Tribunal de Casablanca,1525725000064.0,,societe-somaport-182021, 145 000 000 
COMPAGNIE DE TRANSPORT AU MAROC (CTM)," transport de touristes, de voyageurs, de marchandises et messagerie"," Km 13,5 Autoroute Casa-rabat Sidi Bernoussi",Sidi Bernoussi (AR),33.601129 : -7.508724,30831,Tribunal de Casablanca,1524070000032.0,,societe-compagnie-de-transport-au-maroc-63766, 122 597 800 
M.R.RENOUVO, production de boissons alcooliques., Ain Sebaa Allee Des Citronniers,Ain-Sebaa (AR),33.611537 : -7.527192,7303,Tribunal de Casablanca,1527020000019.0,,societe-m-r-renouvo-4286, 6 000 150 
SOPHASALE (SOPHASALE), commerce en gros de produits pharmaceutiques, Ain Hwala Hay My Ismail,Sale,34.027579 : -6.781461,659,Tribunal de Sale,1530784000047.0,,societe-sophasale-23427, 14 154 000 
MOUNA FOOD, md importateur de produits alimentaires en gros, Lot Al Moustakbal Ndeg 344,Ait Melloul (M),30.341987 : -9.502322,3727,Tribunal de Inzegane,1962927000025.0,,societe-mouna-food-185077, 10 000 000 
PHARMACEUTICAL INSTITUTE (PHI), importation et fabrication de produits pharmaceutiques, Rs203 Rte Akrach,Oumazza,33.93333 : -6.8103,28431,Tribunal de Rabat,1525907000097.0,,societe-pharmaceutical-institute-83645, 74 749 000 
CIE MAROCAINE DE BUREAUTIQUE ET D'INFORMATIQUE (CBI)," conseil, integration et ingenierie informatique, audit / supervision, maintenance, infogerance, formation it."," 29/30, Lot. Attaoufik Rue 1 Im. Cbi- Sidi Maarouf",- Casablanca,33.52482 : -7.65048,32369,Tribunal de Casablanca,1537273000026.0,,societe-cie-marocaine-de-bureautique-et-d-informatique-79805, 129 106 400 
AFRIQUIA LUBRIFIANTS MAROC (AFRILUB), lubrifiants et graisses. certification iso 9001/2008., 139 Bd Moulay Ismail Roches Noires.,Assoukhour Assawda (AR),33.59822 : -7.58306,107165,Tribunal de Casablanca,1526537000062.0,,societe-afriquia-lubrifiants-maroc-109944, 191 748 600 
ETS EL FILALIA DE CONSTRUCTION (EFILIC ), vente et distribution de materiaux de construction," Plateau 15, Imm. E, 12 Quartier De La Gare Bd My Isamail, Angle Bd Emile Zola Et Rue Rocroy",Casablanca,33.58694440000001 : -7.6111111000000164,212893,Tribunal de Casablanca,1533096000091.0,,societe-ets-el-filalia-de-construction-29626, 24 600 000 
SIAB (SIAB), industrie et commerce de vehicules automobiles (nissan)," 166, Bd Moulay Ismael Roches Noires.",Assoukhour Assawda (AR),33.59822 : -7.58306,18121,Tribunal de Casablanca,1540992000008.0,,societe-siab-87031, 300 000 
FRAMOTEL MAROC, hotels et residences., Avenue Yacoub El Marini Residence Yasmine Ndeg 8,Marrakech-Medina (AR),31.630326 : -8.006227,5781,Tribunal de Marrakech,1594062000002.0,,societe-framotel-maroc-9072, 1 900 000 
COMPAGNIE DE PRODUITS CHIMIQUES DU MAROC (C.P.C.M)," commerce d'engrais, fertilisants et autres produits chimiques - commerce d'insecticides, raticides et produits phytosanitaires", Bd Ouk'at Badi Q. Roches Noires,Assoukhour Assawda (AR),33.602329 : -7.563285,3225,Tribunal de Casablanca,1525393000007.0,,societe-compagnie-de-produits-chimiques-du-maroc-8352, 255 000 000 
CHERIFIENNE DE PENUMATIQUES ET CAOUTCHOUC MANUFACTURE KLEBER COLOMBES (STE) (CPCM), commerce exploitation reparation de tous articles de caoutchouc fabrication d'articles toutes operations de toute nature interessant etc..., Rue Emile Zola,Casablanca,33.58694440000001 : -7.6111111000000164,9287,Tribunal de Casablanca,,,societe-cherifienne-de-penumatiques-et-caoutchouc-manufacture-kleber-colombes-ste-1041, 75 000 000 
SOCIETE DE PECHE MARONA, peche hauturiere," 10, Rue El Bassatines (ex Rue General Rocques) 4eme Etage",Casablanca,33.584059 : -7.609863,44509,Tribunal de Casablanca,1554973000045.0,,societe-societe-de-peche-marona-58134, 60 195 000 
FROMAGERIE DES DOUKKALA, fabrication et commerce de produits laitiers," 138, Bd D' Anfa, Imm. Etoile D'anfa 4deget. Appt. 13,",Casablanca,33.58694440000001 : -7.6111111000000164,90987,Tribunal de Casablanca,1526175000039.0,,societe-fromagerie-des-doukkala-91367, 50 000 000 
DAHER AEROSPACE MAROC, fabrication de pieces detachees et composants pour l'aeronautique," Zone Franche D'exportation De Tanger Lot 19, Lot 19b",Tanger-Assilah,35.718396 : -5.914545,17019,Tribunal de Tanger,205185000063.0,,societe-daher-aerospace-maroc-115541, 3 000 000 
LA MAROCAINE DE DISTRIBUTION ET DE LOGISTIQUE (DISLOG), commerce de gros de produits d'hygiene," Ensemble Residentiel Al Hamd, Ndeg8 Br 3d, 4deg Etage, Ain Sebaa",Ain-Sebaa (AR),33.601564 : -7.545368,127577,Tribunal de Casablanca,1428904000081.0,,societe-la-marocaine-de-distribution-et-de-logistique-140449, 210 000 000 
THERMO DARIAS, construction de batiments - travaux de lot techniques, Lot Ndeg 58 Complexe Azzahra Zone Industriel Oulja,Sale,34.0456478 : -6.8024781,7105,Tribunal de Sale,1712688000040.0,,societe-thermo-darias-21998, 68 000 000 
LADIS, distribution produit alimentaire (tria) - fabrication de pates alimentaires, Lot 17-37 Zone Industrielle Ouled Saleh,Bouskoura,33.414212 : -7.662719,94325,Tribunal de Casablanca,1526375000071.0,,societe-ladis-95997, 243 000 000 
JAMADIS, distributeur grossiste en produits alimentaires., Route Azemour Km 22 Tamaresse,Casablanca,33.515224 : -7.817848,146775,Tribunal de Casablanca,37435000092.0,,societe-jamadis-168108, 5 000 000 
LA CONTINENTALE DU SERVICE, commerce de vehicules neufs - commerce d'accessoires et pieces detachees pour vehicules automobiles - entretien et reparation, 82 Angle Bd Abdelmoumen Et Rue Soumaya Ex Pierre Puget,Casablanca,33.5782 : -7.62556,43503,Tribunal de Casablanca,1534278000090.0,,societe-la-continentale-du-service-55852, 21 000 000 
LES GRANDS MOULINS DE L'UNION MAGHREBINE (SO.G.M), meuniers," Quartier Ben Souda, Lotissement Ennamaa, Lot 5/b",Fes-Medina (AR),34.0158670276 : -5.05855533362,20479,Tribunal de Fes,226096000006.0,,societe-les-grands-moulins-de-l-union-maghrebine-104157, 14 000 000 
DUFRY MAROC," fourniture de prestations de services aux autres sites situes en afrique, tenant magasin de plusieurs especes de marchandises duty fre import, exploitation et gestion des boutiques en duty paid shop au niveau des aeroports sur tout le territoire marocain exploitation et gestion de tout autre genre de duty paid shop a l'interieur du pays ou sur les zones frontalieres"," Zone Logistique Sapino, Lots 715 Et 716",Nouaceur (M),33.3611111 : -7.611388900000065,118761,Tribunal de Casablanca,1533797000079.0,,societe-dufry-maroc-127458, 2 500 000 
SILENT BELIEVERS DISTRIBUTION," le transport de toutes marchandises, matieres, produits et materiels, au maroc et a l'international l'achat, la vente, le negoce, l'importation et l'exportation de tous materiels, matieres et produits relevant du secteur des produits d'hygiene, la representation, sous toutes formes, de societes etrangeres ou marocaines ; la distribution de produits alimentaires et de grande consommation", 17 Bd Mohammed Abdou Escalier D Appart Ndeg2 Palmier,Casablanca,33.58694440000001 : -7.6111111000000164,165111,Tribunal de Casablanca,1526216000096.0,,societe-food-goods-distribution-187198, 10 000 000 
LA STE DES TOLES ET DU BOIS (TOLBOIS), importation et vente de toutes marques de bois et toles, 23 Avenue Hassan Alaoui,Casablanca,33.58089 : -7.58473,36365,Tribunal de Casablanca,1514093000042.0,,societe-la-ste-des-toles-et-du-bois-60626, 11 200 000 
C.A.P.E.P (CAPEP)," travaux de construction publics et prives - travaux de terrassement, d'excavation et de fondations, construction de tunnels - travaux fluviaux, portuaires et pour l'hydroelectricite - travaux pour l'irrigation, l'amenagement de puits et sources et l'app", Km 9 Route De Mediouna Cr Bouskoura Hay Hassani Hay Inara Ain Chock,Ain-Chock (AR),33.501853 : -7.628492,55365,Tribunal de Casablanca,1520599000047.0,,societe-c-a-p-e-p-50962, 140 000 000 
CINDICO, confection de vetements professionnels et de travail," Hay Errahma, Zone D'activite Secteur D, Rue Bouregreg, Ndeg 1229",Sale,34.043816 : -6.792268,4111,Tribunal de Sale,1524380000004.0,,societe-cindico-95561, 18 000 000 
VENTEC, fabrication et installation d'appareils de ventilation,,,33.601129 : -7.508724,13553,Tribunal de Casablanca,79770000095.0,,societe-ventec-70625, 270 000 000 
GUARIMETAL, vente de materiaux de construction - transformation de produits siderurgiques - transport de marchandises, 42/44 Zone Industrielle Bp Ndeg109,Selouane,35.068294 : -2.929387,2743,Tribunal de Nador,1558243000025.0,,societe-ste-guarimetal-26159, 6 000 000 
CENTRE PNEUMATIQUE IBN TACHFINE (CPIT), commerce de pneumatiques, 62 Bd Ibn Tachfine,Casablanca,33.58528 : -7.575,32257,Tribunal de Casablanca,1527583000047.0,,societe-centre-pneumatique-ibn-tachfine-60340, 30 000 000 
DISBO, distribution de produits alimentaires," Douar Azzouz Km 15,5 Route D'el Jadida",Casablanca,33.533333 : -7.583333,133581,Tribunal de Casablanca,1536599000085.0,,societe-disbo-149851, 10 000 000 
MONDELEZ MAROC," torrefaction de cafe, distribution de produits agroalimentaires. certifie iso 9001/2008."," Boulevard Chefchaouni, Rue E, Route 110, Quartier Industriel, Ain Sebaa, 20300",Ain-Sebaa (AR),33.607914 : -7.536169,29629,Tribunal de Casablanca,1583612000076.0,,societe-mondelez-maroc-59744, 50 000 000 
STATION D'EMBALLAGE KABBAGE SOUSS (S.K.S), emballages d'agrumes," Avenue Hassan Ii, Immeuble Kabbage Ndeg 325",Agadir (M),30.416292 : -9.595361,601,Tribunal de Agadir,1643433000056.0,,societe-station-d-emballage-kabbage-souss-33386, 148 000 000 
COMPAGNIE MAROCAINE DE GOUTTE A GOUTTE ET DE POMPAGE (CMGP), importation et distribution de materiel d'irrigation - etudes et realisation de stations de pompage et bassins en geo membrane," Parc Industriel Sapino, Lots 102 A 105,",Nouaceur (M),33.40905 : -7.53418,77567,Tribunal de Casablanca,1526296000070.0,,societe-compagnie-marocaine-de-goutte-a-goutte-et-de-pompage-72740, 250 000 000 
DIFFAZUR (DIFFAZUR), commerce de gros de materiel informatique - vente de papeterie et articles en papier - travaux d'imprimerie," 185, Boulevard D'alsace, Mers Sultan",Mers-Sultan (AR),33.5854 : -7.61437,73535,Tribunal de Casablanca,1529428000090.0,,societe-diffazur-44511, 110 000 000 
STE MAROCAINE D'ENGRAIS ET DE PRODUITS CHIMIQUES AGRICOLES ET INDUSTRIELS (PROMAGRI), fabrication et commerce d'engrais et produits chimiques agricoles - importation et distribution d'engrais et fertilisants, B.p 27 Sidi Maarouf Old Haddou Route De Bouskoura,Casablanca,33.51395 : -7.631709,15229,Tribunal de Casablanca,1539859000044.0,,societe-ste-marocaine-d-engrais-et-de-produits-chimiques-agricoles-et-industriels-68742, 60 000 000 
STE FERMIERE DU CASINO DE MARRAKECH ET POUR LE DEVELOPPEMENT IMMOBILIER TOURISTIQUE DE MARRAKECH (FERMA DITM), tourisme - hotellerie., Angle Avenue Quadissia Et Rue Brahim El Mazini Hotel Saadi.,Marrakech-Medina (AR),31.621327 : -8.003209,3007,Tribunal de Marrakech,1526019000080.0,,societe-ste-fermiere-du-casino-de-marrakech-et-pour-le-developpement-immobilier-touristique-de-marrakech-8726, 40 000 000 
MAX DISTRIBUTION INTERNATIONAL CORPORATION, negociant marchand effectuant import-export, Rue Sijilmassa N5 Belvedere,Casablanca,33.59489 : -7.59342,72835,Tribunal de Casablanca,1515090000089.0,,societe-max-distribution-international-corporation-41555, 10 000 000 
ELECTRO SOUND INDUSTRIES (INES), fabrication de materiels electriques," Bd Chefchaouni Km 11.500, Route 110 Ain Sebaa",Ain-Sebaa (AR),33.60474 : -7.54082,39327,Tribunal de Casablanca,1526848000007.0,,societe-electro-sound-industries-58720, 110 000 000 
DNCD, commerce de denrees., Km 6.300 Rte De Rabat Ain Sebaa,Casablanca,33.58694440000001 : -7.6111111000000164,382393,Tribunal de Casablanca,2146174000035.0,,societe-dncd-103016, 55 000 000 
BETOCIM, fabrication et commercialisation du beton pret a l'emploi, Chez Asment Rte De Casablanca,Ain Attig,33.85 : -7.029999999999973,49047,Tribunal de Rabat,,,societe-betocim-91103, 12 000 000 
OROGRAINS, fabrication et commercialisation de cereales et pates alimentaires,,,33.58694440000001 : -7.6111111000000164,138283,Tribunal de Casablanca,,,societe-orograins-155620, 5 800 000 
PESBAK ET BENJELLOUN, exportation et importation de poissons," Zone Industrielle Gzenaya Lots Ndeg 40, 41 Et 42",Tanger-Medina (AR),35.713747 : -5.896654,16457,Tribunal de Tanger,231079000004.0,,societe-pesbak-et-benjelloun-109916, 30 000 000 
CELEG MAROC, importation et commerce de gros de cereales et aliments pour le betail, Rue Chafchaouen Anhgle Rue E Oukacha,Casablanca,33.60905 : -7.55844,47231,Tribunal de Casablanca,84076000039.0,,societe-celeg-maroc-53936, 20 000 000 
VALTECH," 1) marchand effectuant import export (semence et plantes) 2) entrepreneur de travaux divers (fabrication,montage,installation,reparation,amenagement,et assainissement) 3) entrepreneu de canalisation d'eau", Angle Rue Abdelfatah Sebbata Et Rue Abdellah El Ayachi,Rabat,33.977992 : -6.826407,27569,Tribunal de Rabat,42941000034.0,,societe-valtech-18682, 24 658 200 
STE SIRMEL (SIRMEL), vente et distribution de materiel electrique, 317 Bd Oqba Bnou Nafii,Casablanca,33.57953 : -7.55907,32295,Tribunal de Casablanca,1537180000015.0,,societe-ste-sirmel-60578, 15 000 000 
SOGETRAMA GLS, travaux de genie civile et d'assainissement," Complexe De Skhirat, Angle Avenue Hassan Ii Et Route De La Plage.",Skhirate (M),33.850816 : -7.039649,80517,Tribunal de Rabat,1534905000039.0,,societe-sogetrama-gls-22365, 16 000 000 
MUNISYS (MUNISYS), commerce de materiels informatiques - vente des guichets automatiques, Lotissement Bouskoura Park Ndeg11 Ville Verte De Bouskoura Prov Nouaceur-27182,Nouaceur (M),33.3611111 : -7.611388900000065,63779,Tribunal de Casablanca,1526823000003.0,,societe-munisys-47259, 50 000 000 
PROMAMEC," importation et commercialisation de materiel medical, paramedical et laboratoire"," La Zone Industrielle Lissasfa 2, Chemin Tertiaire 1077",Casablanca,33.497193 : -7.660711,102911,Tribunal de Casablanca,1343300000073.0,,societe-promamec-105578, 44 260 500 
LES BELLES MEHDIA, promotion immobiliere," 33 Bis (ex 35) Avenue Hassan Seghir, Angle Rue D'anjou, 4eme Etage, Ndeg 10,",Casablanca,33.595255 : -7.60952,109675,Tribunal de Casablanca,79308000056.0,,societe-les-belles-mehdia-117045, 1 260 000 
SOCIETE DE TRAVAUX AGRICOLES INDUSTRIELS ET PUBLICS (STAIP )," travaux de genie civil (terrassement, voirie et assainissement)",,,33.60613 : -7.54515,174917,Tribunal de Casablanca,1539866000049.0,,societe-societe-de-travaux-agricoles-industriels-et-publics-206254, 45 000 000 
INDUSTRIE CEREALIERE DU NORD (I.C.N), importation et exportation de cereales, Q.i Bensouda Lotissement Mabrouka,Zouagha (AR),34.00714 : -5.052033,22491,Tribunal de Fes,1539723000030.0,,societe-industrie-cerealiere-du-nord-125665, 42 000 000 
TECHNIQUES SCIENCE SANTE (T2S ), travaux de construction - travaux de finition - commerce de gros de produits medicales.," 59 Angle; Bd Abderrahim Bouabid Et 28, Rue Des Pelicans, Quartier Oasis",Casablanca,33.55993 : -7.63921,64923,Tribunal de Casablanca,1539847000077.0,,societe-techniques-science-sante-45071, 30 277 200 
CADBURY MOROCCO," fabrication, vente en gros de chouinggum et de tous produits de confiserie..."," (ain Sebaa), Rue A Entre Les Rues Djilali Ghafiri Et Ibn El Ouannane",Ain-Sebaa (AR),33.58694440000001 : -7.6111111000000164,25657,Tribunal de Casablanca,204430000078.0,,societe-cadbury-morocco-66560, 6 987 500 
MAROCISSIMMO," etude, la realisation, le financement et la gestion de tous projets touristiques et immobiliers et plus particulierement, la realisation d'etudes de toute nature l'elaboration de financements, la construction, l'edification, la promotion, l'amenagement et l'equipement, l'exploitation et la commerc"," Residence Liberation, Angle Boulevard Moulay Youssef & Rue Ohana, Etage 2, Porte 5",Casablanca,33.597271 : -7.630897,154809,Tribunal de Casablanca,28250000058.0,,societe-marocissimmo-178976, 300 000 
WEBHELP MULTIMEDIA, la prestation de services dans les domaines des telecommunication de l'internet et des services a la clientele aussi a l'export que le bureau d'etudes (prestations centres d'appels)," Avenue Joulane Cote Atlas, Secteur 0014 -30.000",Fes,34.0333333 : -5,25837,Tribunal de Fes,65432000094.0,,societe-webhelp-multimedia-171813, 300 000 
ZAHRAT AL KASR AL ABIAD, promotion immobiliere, Lot Al Fadl 2eme-tr 8 Imm 106 Apt 201 Etage,Marrakech-Medina (AR),31.6333333 : -8,18353,Tribunal de Marrakech,1653066000022.0,,societe-zahrat-al-kasr-al-abiad-149062, 1 200 000 
HABITA CENTER, promotion immobiliere.," 62, Angle Bd Moulay Youssef Et Bd Anfa, 5eme Etage Bureau Ndeg53",Casablanca,33.597847 : -7.631181,200411,Tribunal de Casablanca,50632000054.0,,societe-habita-center-247453, 5 000 000 
INTEREDEC MAROC," gestion d'hotels - promotion, organisation et developpement du tourisme tant au maroc qu'a l'etranger"," Place Des Nations Unies, Hotel Hayatt Regency",Casablanca,33.594966 : -7.618805,44093,Tribunal de Casablanca,1529886000043.0,,societe-interedec-maroc-58392, 168 296 300 
ATLANTIC DE NIMES, fabrication de vetements, Lot 26 Zone Industriel Takaddoum,Rabat,34.119302 : -6.74221,60671,Tribunal de Rabat,101808000067.0,,societe-atlantic-de-nimes-155080, 30 000 000 
ECO-MEDIAS, edition d'un quotidien d'informations economique ( l'economiste)," 70, Bd Al Massira Al Khadra Et Angle Rue Oumayma Sayeh",Casablanca,33.5867 : -7.63572,63107,Tribunal de Casablanca,1527169000070.0,,societe-eco-medias-47919, 28 375 000 
SOCIETE MAROCAINE DE L'AIR COMPRIME (SMAC )," commerce d'equipements de travaux publics, mines et carrieres, manutention, materiel de nettoyage, compresseurs, outillage et voiturettes de golf",,,33.56535 : -7.68307,22633,Tribunal de Casablanca,1539557000050.0,,societe-societe-marocaine-de-l-air-comprime-68004, 13 814 000 
CASINO MANAGEMENT GROUP, casino - salles de jeux - restauration, Av Mohamed Iv Rte De Malabata Baie De Tanger,Tanger-Medina (AR),35.77803 : -5.77446,13895,Tribunal de Tanger,1525956000035.0,,societe-casino-management-group-93644, 1 000 000 
SOCIETE BOUARGA ROUTIERE (SBTR), travaux de construction et travaux routiers divers, 161 Quartier Industrielle Sidi Ghanem,Sidi Ghanem,31.199238 : -8.7949,9875,Tribunal de Marrakech,1459545000087.0,,societe-bouarga-routiere-83192, 118 775 000 
